[Category],[Exam],[Question Text],[Choice 1],[Choice 2],[Choice 3],[Choice 4],[Correct Answer],[Explanation],[Difficulty],[Topic],[Points],[Question Type]
[ASI Bihar Exam],[Practice Set-4],[General Knowledge: [Who is the current Chief Minister of Bihar in 2025?]],[Nitish Kumar],[Tejashwi Yadav],[Lalu Prasad],[Sushil Modi],[Nitish Kumar],[Nitish Kumar is the CM of Bihar in 2025.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [What is the sum of angles in a triangle?]],[180°],[90°],[360°],[270°],[180°],[Sum of angles in a triangle = 180°.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [If all cats are mammals and some mammals are white, which is true?]],[Cannot say],[All cats are white],[Some cats are white],[No cat is white],[Cannot say],[Cannot conclude about cats being white.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which major dam is located in Bihar?]],[Rajgir Dam],[Madhubani Dam],[Koshi Dam],[Ganga Dam],[Koshi Dam],[Koshi Dam is a major dam in Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who led the Champaran Satyagraha in Bihar?]],[Mahatma Gandhi],[Jawaharlal Nehru],[Subhas Chandra Bose],[Rajendra Prasad],[Mahatma Gandhi],[Mahatma Gandhi led the Champaran Satyagraha in 1917.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [What is 25% of 400?]],[100],[200],[75],[150],[100],[25% of 400 = 100.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which plateau is partially located in Bihar?]],[Chotanagpur Plateau],[Deccan Plateau],[Malwa Plateau],[Sahyadri Plateau],[Chotanagpur Plateau],[Chotanagpur Plateau extends into Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [All squares are rectangles, some rectangles are blue. What can we conclude about squares?]],[Some squares are blue],[Cannot say],[All squares are blue],[No square is blue],[Cannot say],[Cannot conclude about squares.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Which art form is known for vibrant geometric patterns in Bihar?]],[Madhubani Painting],[Pattachitra],[Warli Art],[Miniature Painting],[Madhubani Painting],[Madhubani painting is known for geometric patterns.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which scheme promotes digital literacy in Bihar?]],[Digital Bihar],[Smart Bihar],[e-Learning Bihar],[Bihar Connect],[Digital Bihar],[Digital Bihar promotes digital literacy.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [What is the cube of 5?]],[125],[100],[150],[75],[125],[5×5×5 = 125.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who was the last ruler of the Magadh Empire?]],[Bimbisara],[Ajatashatru],[Shishunaga],[Mahapadma Nanda],[Mahapadma Nanda],[Mahapadma Nanda was the last ruler of Magadh Empire.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which national park is located in Bihar?]],[Valmiki National Park],[Sundarbans],[Kaziranga],[Gir National Park],[Valmiki National Park],[Valmiki National Park is in West Champaran, Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [If all dogs are animals and some animals are black, which is true?]],[Cannot say],[All dogs are black],[Some dogs are black],[No dog is black],[Cannot say],[Cannot conclude about dogs being black.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [What is the square root of 196?]],[14],[12],[16],[15],[14],[√196 = 14.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which riverfront development project is ongoing in Patna?]],[Ganga Riverfront],[Koshi Riverfront],[Sone Riverfront],[Gandak Riverfront],[Ganga Riverfront],[Ganga Riverfront development is ongoing in Patna.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Which musical instrument is popular in Bihar folk music?]],[Bansuri],[Tabla],[Dholak],[Sitar],[Dholak],[Dholak is widely used in Bihar folk music.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who wrote 'An Autobiography' and was from Bihar?]],[Rajendra Prasad],[Jayaprakash Narayan],[Ramdhari Singh Dinkar],[Anugrah Narayan Sinha],[Rajendra Prasad],[Rajendra Prasad was from Bihar and wrote his autobiography.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [Find 30% of 150.]],[45],[40],[35],[50],[45],[30% of 150 = 45.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which is the largest district by area in Bihar?]],[Gaya],[Muzaffarpur],[Bhagalpur],[Patna],[Gaya],[Gaya is the largest district by area in Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [All men are mortal, Socrates is a man. Which is true?]],[Socrates is mortal],[Socrates is immortal],[Cannot say],[Some men are mortal],[Socrates is mortal],[Classic syllogism conclusion.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Which festival in Bihar is associated with harvesting?]],[Chhath],[Makar Sankranti],[Diwali],[Holi],[Chhath],[Chhath is associated with harvesting and worship of the Sun.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which tech park is upcoming in Patna?]],[Patna IT Park],[Bihar Tech Hub],[Digital Bihar Park],[Smart City Hub],[Patna IT Park],[Patna IT Park is an upcoming tech hub in the city.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [Solve: 12 + 8 × 2]],[28],[40],[32],[30],[28],[BODMAS: 8×2=16, 12+16=28.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who was the first Deputy Prime Minister of India from Bihar?]],[Sardar Patel],[Anugrah Narayan Sinha],[Rajendra Prasad],[Jayaprakash Narayan],[Anugrah Narayan Sinha],[Anugrah Narayan Sinha was the first Deputy PM from Bihar.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which border state lies to the north of Bihar?]],[Uttar Pradesh],[Nepal],[Jharkhand],[West Bengal],[Nepal],[Nepal lies to the north of Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [If all fruits are sweet and mango is a fruit, which is true?]],[Mango is sweet],[Cannot say],[Some mangoes are sweet],[No mango is sweet],[Mango is sweet],[Mango is sweet because it is a fruit.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [What is 7×8?]],[56],[54],[48],[64],[56],[7×8=56.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which renewable energy project is inaugurated in Bihar?]],[Solar Bihar Project],[Wind Bihar Project],[Hydro Bihar Project],[Green Bihar Project],[Solar Bihar Project],[Solar energy project inaugurated in Bihar.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Which traditional craft uses terracotta in Bihar?]],[Terracotta Craft],[Madhubani Painting],[Bamboo Craft],[Puppet Making],[Terracotta Craft],[Terracotta craft is a traditional art in Bihar.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who founded Patna University?]],[British Government],[Magadh King],[Bihar Government],[Ashoka],[British Government],[Patna University was founded by the British Government in 1917.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [If x + 7 = 15, find x.]],[8],[7],[9],[6],[8],[x = 15 − 7 = 8.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which Bihar city is known as the Oxford of the East?]],[Nalanda],[Patna],[Darbhanga],[Gaya],[Nalanda],[Nalanda is historically known as the Oxford of the East.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [All crows are birds, all birds can fly, which is true?]],[All crows can fly],[Cannot say],[Some crows cannot fly],[No crow can fly],[All crows can fly],[All crows can fly because all birds can fly.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which airport is under expansion in Bihar in 2025?]],[Patna Airport],[Gaya Airport],[Darbhanga Airport],[Muzaffarpur Airport],[Patna Airport],[Patna Airport is under expansion.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [Find 15 × 14.]],[210],[200],[220],[205],[210],[15×14=210.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Which folk song is popular during Chhath Puja?]],[Kajri],[Chaiti],[Sohar],[Bidesia],[Sohar],[Sohar is sung during Chhath Puja.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who built the Ashoka Pillar in Bihar?]],[Ashoka],[Bimbisara],[Chandragupta],[Harshavardhan],[Ashoka],[Ashoka built the Ashoka Pillar.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which mineral is abundantly found in Bihar?]],[Bauxite],[Pyrite],[Mica],[Coal],[Mica],[Mica is abundantly found in Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [If all students are intelligent and some intelligent people are hardworking, which is true?]],[Cannot say],[All students are hardworking],[Some students are hardworking],[No student is hardworking],[Cannot say],[Cannot conclude about students.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [Find 20% of 250.]],[50],[40],[60],[55],[50],[20% of 250 = 50.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which scheme aims to promote start-ups in Bihar?]],[Startup Bihar],[Digital Bihar],[Smart Bihar],[Bihar Udyami],[Startup Bihar],[Startup Bihar scheme promotes entrepreneurship.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Which traditional dance is famous in Bihar?]],[Bidesia],[Kathak],[Bharatanatyam],[Odissi],[Bidesia],[Bidesia is a traditional folk dance of Bihar.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who was the founder of the Maurya Empire?]],[Chandragupta Maurya],[Ashoka],[Bindusara],[Bimbisara],[Chandragupta Maurya],[Chandragupta Maurya founded the Maurya Empire.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [What is 9 × 9?]],[81],[72],[99],[79],[81],[9 × 9 = 81.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which river forms the border between Bihar and Nepal?]],[Gandak],[Kosi],[Sone],[Ganga],[Gandak],[Gandak river forms part of the northern border.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [All cats are animals, some animals are black. Which is true about cats?]],[Cannot say],[All cats are black],[Some cats are black],[No cat is black],[Cannot say],[Cannot determine color of cats.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which railway project is underway in Bihar?]],[Patna Metro],[Bihar High-Speed Rail],[Ganga Bridge Rail Project],[Bihar Express],[Ganga Bridge Rail Project],[Ganga Bridge Rail Project is underway in Bihar.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [Find 18 ÷ 3.]],[6],[5],[7],[8],[6],[18 ÷ 3 = 6.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who was the first Chief Minister of Bihar?]],[Anugrah Narayan Sinha],[Sri Krishna Sinha],[Rajendra Prasad],[Jayaprakash Narayan],[Sri Krishna Sinha],[Sri Krishna Sinha was the first CM of Bihar.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Which traditional Bihar craft uses bamboo?]],[Bamboo Craft],[Terracotta],[Madhubani Painting],[Puppet Making],[Bamboo Craft],[Bamboo is used in traditional crafts.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which is the largest city in Bihar?]],[Patna],[Gaya],[Muzaffarpur],[Bhagalpur],[Patna],[Patna is the largest city.],[easy],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [If some A are B, and all B are C, what can we conclude?]],[Some A are C],[All A are C],[No A is C],[Cannot say],[Some A are C],[Some A are C based on transitive logic.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [Solve: 45 − 17.]],[28],[30],[27],[25],[28],[45 − 17 = 28.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which new university was inaugurated in Bihar in 2025?]],[Nalanda University],[Patna University],[Bihar University],[Bhagalpur University],[Nalanda University],[Nalanda University was inaugurated.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who defeated the Mughals in the Battle of Rajmahal?]],[Sher Shah Suri],[Humayun],[Akbar],[Babar],[Sher Shah Suri],[Sher Shah Suri defeated Mughals at Rajmahal.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [What is 15% of 200?]],[30],[25],[35],[40],[30],[15% of 200 = 30.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which district is known for Bodh Gaya?]],[Gaya],[Patna],[Nalanda],[Bhagalpur],[Gaya],[Bodh Gaya is in Gaya district.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [All roses are flowers, some flowers fade quickly. Which is true?]],[Cannot say],[All roses fade quickly],[Some roses fade quickly],[No rose fades quickly],[Cannot say],[Cannot determine about roses.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Which festival involves offering prayers to the Sun in Bihar?]],[Chhath],[Holi],[Diwali],[Makar Sankranti],[Chhath],[Chhath Puja involves offering prayers to Sun.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which bridge over Ganga is longest in Bihar?]],[Mahatma Gandhi Setu],[Rajendra Setu],[Sonepur Bridge],[Koshi Bridge],[Mahatma Gandhi Setu],[Mahatma Gandhi Setu is the longest bridge over Ganga.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [Solve: 9 + 12 × 2.]],[33],[40],[30],[25],[33],[BODMAS: 12×2=24, 9+24=33.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who was the governor of Bihar during British rule in 1920?]],[Lord Curzon],[Sir Edward Gait],[Lord Mountbatten],[Sir John Anderson],[Sir Edward Gait],[Sir Edward Gait was governor of Bihar in 1920.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [What is 5² + 12²?]],[169],[144],[150],[121],[169],[5² + 12² = 25 + 144 = 169.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which soil is most common in Bihar?]],[Alluvial],[Black soil],[Red soil],[Laterite],[Alluvial],[Alluvial soil is common in Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [If all A are B and no B is C, which is true?]],[No A is C],[Some A are C],[Cannot say],[All A are C],[No A is C],[No A can be C because no B is C.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Which Bihar painting style is UNESCO recognized?]],[Madhubani],[Pattachitra],[Warli],[Miniature],[Madhubani],[Madhubani painting is UNESCO recognized.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which airport in Bihar is international?]],[Patna Airport],[Gaya Airport],[Darbhanga Airport],[Muzaffarpur Airport],[Patna Airport],[Patna Airport is international.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [What is 11 × 11?]],[121],[111],[131],[100],[121],[11×11 = 121.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Which freedom fighter from Bihar was known as 'Lok Nayak'?]],[Jayaprakash Narayan],[Rajendra Prasad],[Anugrah Narayan Sinha],[Bhimrao Ambedkar],[Jayaprakash Narayan],[Jayaprakash Narayan was called Lok Nayak.],[medium],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Geography: [Which forest is famous in Bihar?]],[Valmiki National Park],[Sundarbans],[Kaziranga],[Gir Forest],[Valmiki National Park],[Valmiki National Park is famous in Bihar.],[medium],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Reasoning: [If some X are Y and some Y are Z, which is true?]],[Cannot say],[All X are Z],[No X is Z],[Some X are Z],[Cannot say],[Cannot conclude.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Mathematics: [Solve: 50 ÷ 5 + 7]],[17],[10],[15],[20],[17],[50 ÷ 5 = 10, 10+7=17.],[easy],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Culture: [Which folk theatre is popular in Bihar?]],[Bidesia],[Tamasha],[Jatra],[Nautanki],[Bidesia],[Bidesia is a popular folk theatre in Bihar.],[easy],[Culture],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[Current Affairs: [Which smart city project is in Bihar?]],[Patna Smart City],[Gaya Smart City],[Muzaffarpur Smart City],[Bhagalpur Smart City],[Patna Smart City],[Patna is part of Smart City project.],[medium],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-4],[History: [Who was the founder of Nalanda University?]],[Gupta King],[Kumaragupta],[Ashoka],[Harsha],[Ashoka],[Ashoka founded Nalanda University.],[medium],[History],[1],[single]
