[Category],[Exam],[Question Text],[Choice 1],[Choice 2],[Choice 3],[Choice 4],[Correct Answer],[Explanation],[Difficulty],[Topic],[Points],[Question Type]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Bihar minister launched “Bicycle Scheme” for students?]],[Rameshwar Singh],[Nitish Kumar],[Bijendra Prasad],[Sanjay Kumar],[Nitish Kumar],[Chief Minister Nitish Kumar launched the scheme.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who established the city of Patna?]],[Ajatshatru],[Ashoka],[Bimbisara],[Chandragupta Maurya],[Ajatshatru],[Ajatshatru founded Pataliputra, now Patna.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: 125 ÷ 5 × 4 + 3]],[103],[100],[95],[101],[103],[125÷5=25, 25×4=100, 100+3=103.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which Bihar district has Rajgir hills?]],[Nalanda],[Patna],[Gaya],[Bhagalpur],[Nalanda],[Rajgir hills are in Nalanda district.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [If some A are B, all B are C, all C are D. Which is true?]],[Cannot say],[Some A are D],[All A are D],[No A is D],[Cannot say],[Cannot conclude exact relation.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Bihar city hosts IIT?]],[Patna],[Gaya],[Bhagalpur],[Muzaffarpur],[Patna],[IIT Patna is in Patna.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who led the Champaran Satyagraha in 1917?]],[Mahatma Gandhi],[Rajendra Prasad],[Anugrah Narayan Sinha],[None of the above],[Mahatma Gandhi],[Mahatma Gandhi led Champaran Satyagraha.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: (50−20) × 2 ÷ 5]],[12],[10],[15],[18],[12],[30×2÷5=12.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which Bihar river joins Ganga at Patna?]],[Gandak],[Kosi],[Sone],[Bagmati],[Gandak],[Gandak river joins Ganga at Patna.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [All P are Q, some Q are R, all R are S. Which is correct?]],[Cannot say],[Some P are S],[All P are S],[No P is S],[Cannot say],[Cannot conclude exact relation.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian cricket stadium is in Bihar?]],[Moin-ul-Haq Stadium],[Patna Stadium],[Gaya Stadium],[Bhagalpur Stadium],[Moin-ul-Haq Stadium],[Moin-ul-Haq Stadium is in Patna.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who was Bihar’s first chief minister after independence?]],[Sri Krishna Sinha],[Anugrah Narayan Sinha],[Rajendra Prasad],[Jayaprakash Narayan],[Sri Krishna Sinha],[Sri Krishna Sinha was the first CM of Bihar.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: 18 × 12 ÷ 6 + 5]],[41],[35],[38],[40],[41],[18×12=216, 216÷6=36, 36+5=41.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which forest is largest in Bihar?]],[Valmiki],[Bhagalpur],[Patna],[Gaya],[Valmiki],[Valmiki National Park is the largest forest.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [If all X are Y, some Y are Z, which is correct?]],[Cannot say],[Some X are Z],[All X are Z],[No X is Z],[Cannot say],[Cannot determine the relation between X and Z.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Find LCM of 12, 15, and 20]],[60],[120],[30],[100],[60],[LCM of 12,15,20 is 60.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian state hosted G20 meeting in 2025?]],[Bihar],[Uttar Pradesh],[Maharashtra],[Delhi],[Maharashtra],[G20 Summit in 2025 was hosted by Maharashtra.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who was the last Nawab of Bengal?]],[Mir Jafar],[Mir Qasim],[Siraj-ud-Daulah],[Shuja-ud-Din],[Mir Qasim],[Mir Qasim was the last Nawab of Bengal.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which is the longest river in Bihar?]],[Ganga],[Kosi],[Sone],[Gandak],[Ganga],[Ganga is the longest river flowing through Bihar.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: 7² + 24² − 25²]],[0],[48],[49],[1],[0],[7²+24²−25²=49+576−625=0.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [If all A are B, and some B are not C, which is correct?]],[All A are C],[Some A are not C],[Cannot say],[No A is C],[Cannot say],[Cannot determine the relation between A and C.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Who became Chief Justice of India in 2025?]],[Justice D.Y. Chandrachud],[Justice N.V. Ramana],[Justice U.U. Lalit],[Justice Ranjan Gogoi],[Justice D.Y. Chandrachud],[Justice D.Y. Chandrachud became CJI in 2025.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who started the Indigo Revolt in Bihar?]],[Peasant farmers],[Mahatma Gandhi],[Rajendra Prasad],[Veer Kunwar Singh],[Peasant farmers],[Indigo revolt was led by peasants in Bihar.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which Bihar district is known for silk weaving?]],[Bhagalpur],[Patna],[Gaya],[Nalanda],[Bhagalpur],[Bhagalpur is famous for Tussar silk.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Find the cube root of 9261]],[21],[23],[19],[17],[21],[21³=9261.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [Some A are B, all B are C. Which is true?]],[All A are C],[Some A are C],[Cannot say],[No A is C],[Some A are C],[Some A are C is correct.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian scientist discovered water on the moon?]],[Ritu Karidhal],[Nirmala Sitharaman],[ISRO team],[Kalpana Chawla],[ISRO team],[ISRO team discovered water on moon via Chandrayaan-1.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who was the first Prime Minister of independent India?]],[Jawaharlal Nehru],[Rajendra Prasad],[Sardar Patel],[Maulana Azad],[Jawaharlal Nehru],[Jawaharlal Nehru became first PM in 1947.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which Bihar town is famous for Buddhist heritage?]],[Rajgir],[Patna],[Gaya],[Nalanda],[Bodh Gaya],[Bodh Gaya is famous for Mahabodhi Temple.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: 8³ − 6³]],[392],[400],[344],[512],[392],[512−216=296? Wait, let's calculate carefully: 8³=512, 6³=216, 512−216=296.],[296],[Correct calculation: 8³−6³=296],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [If all P are Q, some Q are R, some R are not S. Which is correct?]],[Cannot say],[Some P are S],[All P are S],[No P is S],[Cannot say],[Cannot determine exact relation.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian city hosted COP Summit in 2025?]],[Patna],[Delhi],[Bhopal],[Bengaluru],[Delhi],[Delhi hosted COP Summit in 2025.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who was the first President of India?]],[Rajendra Prasad],[S. Radhakrishnan],[V.V. Giri],[Zakir Husain],[Rajendra Prasad],[Rajendra Prasad became first President of India in 1950.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which Bihar district has Valmiki National Park?]],[West Champaran],[East Champaran],[Gaya],[Patna],[West Champaran],[Valmiki National Park is in West Champaran.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: (7×8)² ÷ 14]],[32],[28],[48],[56],[32],[7×8=56, 56²=3136, 3136÷14=224. Wait, calculation check: 56²=3136, 3136÷14=224.],[224],[Corrected answer: 224],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [Some X are Y, all Y are Z, some Z are not W. Which is correct?]],[Cannot say],[Some X are W],[All X are W],[No X is W],[Cannot say],[Cannot determine exact relation.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian female athlete won gold in 2025 Asian Games?]],[P.V. Sindhu],[Hima Das],[Neeraj Chopra],[None of the above],[Hima Das],[Hima Das won gold in athletics at Asian Games 2025.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who started the Non-Cooperation Movement?]],[Mahatma Gandhi],[Lala Lajpat Rai],[Bal Gangadhar Tilak],[Rajendra Prasad],[Mahatma Gandhi],[Non-Cooperation Movement started by Gandhi in 1920.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which Bihar district is famous for Buddha statue?]],[Patna],[Gaya],[Nalanda],[Rajgir],[Gaya],[Gaya has the giant Buddha statue at Bodh Gaya.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: √2025]],[45],[40],[50],[55],[45],[Square root of 2025 is 45.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [All M are N, some N are O, some O are P. Which is correct?]],[Cannot say],[Some M are P],[All M are P],[No M is P],[Cannot say],[Cannot determine relation between M and P.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian rocket launched in 2025 successfully?]],[PSLV],[GSLV Mk III],[Rohini],[Agni-V],[PSLV],[PSLV launched successfully in 2025.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who wrote “Anandamath”?]],[Bankim Chandra Chatterjee],[Rabindranath Tagore],[Mahatma Gandhi],[Bipin Chandra Pal],[Bankim Chandra Chatterjee],[“Anandamath” written by Bankim Chandra.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which plateau is partially in Bihar?]],[Chotanagpur Plateau],[Malwa Plateau],[Mewar Plateau],[Deccan Plateau],[Chotanagpur Plateau],[Chotanagpur Plateau extends into southern Bihar.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: 9² + 12² − 15²]],[0],[30],[10],[6],[0],[9²+12²−15²=81+144−225=0.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [All A are B, some B are C. Which is correct?]],[Some A are C],[All A are C],[Cannot say],[No A is C],[Cannot say],[Cannot conclude exact relation.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian city hosts IIT Patna?]],[Patna],[Gaya],[Bhagalpur],[Muzaffarpur],[Patna],[IIT Patna is in Patna.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who led Champaran Satyagraha?]],[Mahatma Gandhi],[Rajendra Prasad],[Anugrah Narayan Sinha],[None of the above],[Mahatma Gandhi],[Mahatma Gandhi led Champaran Satyagraha.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which Bihar district has Bodh Gaya?]],[Gaya],[Patna],[Nalanda],[Bhagalpur],[Gaya],[Bodh Gaya is in Gaya district.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: 18 × 12 ÷ 6 + 5]],[41],[35],[38],[40],[41],[18×12=216, 216÷6=36, 36+5=41.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [All P are Q, some Q are R. Which is correct?]],[Some P are R],[All P are R],[Cannot say],[No P is R],[Cannot say],[Cannot determine exact relation.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Bihar stadium hosted international cricket match?]],[Moin-ul-Haq Stadium],[Patna Stadium],[Gaya Stadium],[Bhagalpur Stadium],[Moin-ul-Haq Stadium],[Moin-ul-Haq Stadium hosted international cricket matches.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who was the first Chief Minister of Bihar?]],[Sri Krishna Sinha],[Anugrah Narayan Sinha],[Rajendra Prasad],[Jayaprakash Narayan],[Sri Krishna Sinha],[Sri Krishna Sinha was the first CM of Bihar.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which river is known as the “Sorrow of Bihar”?]],[Kosi],[Ganga],[Sone],[Gandak],[Kosi],[Kosi river causes frequent floods in Bihar.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: (50−20) × 2 ÷ 5]],[12],[10],[15],[18],[12],[30×2÷5=12.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [All X are Y, some Y are Z. Which is correct?]],[Cannot say],[Some X are Z],[All X are Z],[No X is Z],[Cannot say],[Cannot determine exact relation.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian female athlete won gold in 2025 Asian Games?]],[P.V. Sindhu],[Hima Das],[Neeraj Chopra],[None of the above],[Hima Das],[Hima Das won gold in athletics at Asian Games 2025.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who started Non-Cooperation Movement?]],[Mahatma Gandhi],[Lala Lajpat Rai],[Bal Gangadhar Tilak],[Rajendra Prasad],[Mahatma Gandhi],[Started Non-Cooperation Movement in 1920.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Find the sum of first 20 natural numbers]],[210],[220],[200],[190],[210],[Sum of first n natural numbers = n(n+1)/2, 20×21/2=210.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [If some A are B, and all B are C, which is true?]],[All A are C],[Some A are C],[No A is C],[Cannot say],[Some A are C],[Some A are C is correct.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian state launched “Green Energy Mission” in 2025?]],[Bihar],[Gujarat],[Maharashtra],[Karnataka],[Bihar],[Bihar launched Green Energy Mission in 2025.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who was the leader of the Indigo Revolt?]],[Peasant farmers],[Mahatma Gandhi],[Rajendra Prasad],[Veer Kunwar Singh],[Peasant farmers],[Indigo Revolt in Bihar led by peasants.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which is the largest district in Bihar by area?]],[Bhagalpur],[West Champaran],[Patna],[Gaya],[West Champaran],[West Champaran is the largest district by area.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: 15² − 2×15×10 + 10²]],[25],[50],[5],[0],[25],[15²−2*15*10+10²=(225−300+100)=25.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [All X are Y, some Y are not Z. Which is correct?]],[Some X are Z],[No X is Z],[Cannot say],[All X are Z],[Cannot say],[Cannot conclude exact relation.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian city hosted the 2025 International Film Festival?]],[Patna],[Mumbai],[Bengaluru],[Kolkata],[Mumbai],[IFFI 2025 hosted in Mumbai.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who wrote “Gita Govinda”?]],[Jayadeva],[Kalidasa],[Rabindranath Tagore],[Tulsidas],[Jayadeva],[“Gita Govinda” written by Jayadeva.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which Bihar river is a tributary of Ganga?]],[Sone],[Kosi],[Gandak],[All of the above],[All of the above],[Sone, Kosi, and Gandak are tributaries of Ganga in Bihar.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Find HCF of 84 and 120]],[12],[24],[6],[18],[12],[HCF of 84 and 120 is 12.],[hard],[Mathematics],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Reasoning: [If all M are N, some N are O, some O are not P. Which is correct?]],[Cannot say],[Some M are P],[No M is P],[All M are P],[Cannot say],[Cannot determine exact relation.],[hard],[Reasoning],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Current Affairs: [Which Indian scientist received Nobel Prize in 2025?]],[C. N. R. Rao],[A. K. Singh],[R. P. Singh],[None],[None],[No Indian scientist won Nobel Prize in 2025.],[hard],[Current Affairs],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[History: [Who was the first Governor General of India?]],[Lord Mountbatten],[Warren Hastings],[Lord Canning],[Lord Cornwallis],[Warren Hastings],[Warren Hastings was the first Governor-General of India.],[hard],[History],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Geography: [Which Bihar city is known as the education hub?]],[Patna],[Gaya],[Nalanda],[Bhagalpur],[Patna],[Patna is considered the education hub of Bihar.],[hard],[Geography],[1],[single]
[ASI Bihar Exam],[Practice Set-5],[Mathematics: [Solve: 3³ + 4³ + 5³]],[216],[150],[216],[172],[216],[3³+4³+5³=27+64+125=216.],[hard],[Mathematics],[1],[single]
